date,text
1785-11-01,B Clear. the ice runs to day. I heard from Son Town by mr Lewis; all well. I was at home y s Day.
1785-11-02,A Snow Storm. mr Ballard at Pol ds . Jannie Robbins hr. I helpt Hannah Barton Do hous work. At home all Day.
1785-11-02,Clear & Cool. I was at home. mr Chamberlin here. I mendid Cyrus s Boys Trousers. mr Taylor Dind here.
1785-11-02,Clear. Doctr Barton & wife Came here. y e Doc tr went to Cobese.
1785-11-02,"I went to Esq r Howards to take Care of Alvin Weeks & Polly Briant who were Sick of a feaver. Cap t Nickols & Silas Eddy here from Oxford. I was Calld to mr Chamberlins, his wife in travil at about ten in Evin g . John Comings Come there after me to go to Ben n Whites of winthrop but I could not be dismist."
1785-11-03,Clear. Cap t Nichols of OXford here; our friends all well. Hannah & Dolly went to mr Crages & mr westons. Ben n Brown Drank Tea with us.
1785-11-03,"Birth of Asa Wl ms Dafter. X I Came home from mr Boltons Early, had not Set Down before Asa Williams Came for me to go to his wife. I went as far as Crages, Crost y e river & went on hors back in great hast. found her Safely Delivrd by Old mrs Ingerham. Mr Wil ms gave me 10 S . I returnd home at 12 O Clock. Sam l Babcoks wife & Dorcas Savage here."
1785-11-03,Clear & warm. Lucy some unwell. I am at Towns yet. Mr Lues went Down River. Betsy washd & went to mr Dexters. there was a Shower at Night. I feel not so well as I could wish.
1785-11-03,I was at home all Day. mr Oriah Cleark [&] his wife here.
1785-11-04,Clear & Pleas t . Biah Town here. I was at home ys Day about making Soap & knitting.
1785-11-04,I was at mr Towns; we washed. mr Dexter here.
1785-11-04,August s Ballard Came for Alice. I was Calld to mr Edsons to see his Burnt foot; found it Bad. Drest it & Left some Salve.
1785-11-04,I went to help mrs Weston quillt.
1785-11-04,"Oct. I am at home. Dolly very unwell. Hannah & Polly washt. mr Ballard went to mr Hersys fore n, to the hook after n . Wil m Stone Sent here for Camp fr . I Sent him an ounce of tinct."
1785-11-04,I was at home all Day. it raind Exceeding powerfully y s night.
1785-11-05,"Birth. Danl Boltons Dafter. X I was Calld in haste to Danniel Boltons, his wife being in Travil. Shee was Safely Deliverd at about twelve O Clok of a fine Dafter. I left her very Comfortable & Returned home before Sun Sett. fee not paid. it rains tonight. I finishd my 4th pair of Toe hoes."
1785-11-05,"Clear Morn, Cloudy after n . I finish t footing a pair of hoes for Lucy. Betsy & I went to ye field & got Sennakle root, then went down to mr Stackpols; Drank Tea there."
1785-11-06,A Shouer. old mrs Hardin here; we Cleand Sellers. I washt Barrils & was at home all Day.
1785-11-07,"Clear, thawd a little. mr Ballard wrote warrants. I was at home. Hannah fins d Ephes Shirt. mr Savage here, Said wm Kennudy has broug t his wife home."
1785-11-07,Clear. Capt Savage & Lady & Isaac & wife here. I was makeing Soap. very weiry at night.
1785-11-07,"We Began to make our gardin. I finish t Combing flax. Polly Savage went to mr Westons, took [ ]. I was at home all Day. It Raind y s night."
1785-11-07,"Clear Excep t a sprinkling of rain before noone. I was Cald to mr Ellises at 1 O Clock after n , his wife in travil. Shee was Deliverd of a Son at 1 O Clock y e next morn. I tarried all night. Came to Danniel Boltons [ ] in morn."
1785-11-07,Rainy. I was at home y s Day. we Brewd and Spun [sash].
1785-11-07,"I went to mr Chamberlins to see y e Babe, prepard Some fig phisick for it after I returnd. Dan l Robins has Brus d his Toe, it is painful. I put a Poultis to it. Rufus Ballard here y s Day."
1785-11-09,"B I was Calld to mr Westons to See his wife, Shee being ill with a Disentery. I administerd a Clister which gave her Eas & Came home at Evin g . Drest Robins s foot that is some better."
1785-11-19,B Clear. I attend d meeting at ye meeting hous. went to mr Westons at Intermition. mr Coney made a prayer & Read a sermon in ye morn. mr Babcok performd afternoon.
1785-11-22,"B X Birth. Elliss child. XX A Louray Day. I tarried at mr Boltons all night, his wife being unwell."
1785-11-27,"B Clear. Theophelus Hamlin arivd here from oxford, by whom we Rec d a Letter f m B r Collins moore which Enforms of ye Death of Ebin z Davis's wife. Cap t Lambs wife of Charlt n , Solo n Cooks & Ebn z Davis Junrs wives Died in Child Bed; Infants Deceast also. he Enf ms of Death of old Lady Harris."
1785-11-30,I was at Ditoes. mr Collar & Eunis Stakpole here.
1785-12-02,Clear part of ye Day; Some rain & haill & [Shnow]. I went to See Woodward Allins wife. Saw mrs Hardin there.
1785-12-02,"Cloudy morn. I Returnd from Boltons, got home at 7 O Clock in y e morn. Son Town Came here after noone, his family are well. it raind at night."
1785-12-02,"I went with mr Ballard to Doc t Coneys to See his house raisd. James Cowen Came home with us, tar d all night."
1785-12-02,"I went to mr Chamberlins fore noon, to mr Westons after n , found him & his wife better. y e Girls went there at Eving. mr Ballard Gone to mr [Wheles]."
1785-12-03,"Snowd in ye morn, Clear aftr n . Annual Meeting to Day. mrs Forbes here to Bake; Dind with me. I was at home all Day. Dolly finnisht a Shirt for Eph m ."
1785-12-03,"Clear. mr Ballard & I & Sis t Barton, Cyrus & Dolly & Pollard went to See Norcroses Vesil Lanchd. I went in to See mrs Cleark. Shee has had an ill turn but some better."
1785-12-03,"Birth. Chamberlins X Daftr. I was at Chamberlins all day. Shee was deliverd at six O/Clok after n of a Dafter. I left there about ten & came home Some fatagud. I was at home, mr Ballard at Pits Town."
1785-12-04,"Clear. I was at home. mrs Savage, Chamb n , Bolton & Forbes here. Polly hamlin Came at Evin g ."
1785-12-04,Clear morn. I was at Son Towns all Day. mr Dexter there.
1785-12-04,I was Calld to Chamberlins to see y r Babe; heard by mrs Savage y t Lucy was unwell.
1785-12-04,I was at home all Day. we had Roast Pigg & a Line of veal for Din r . I heard y t Capt Savage & Hersy were so heavy they oversett their Canoe & fell into thee river.
1785-12-05,"Clear, Fast Day. mr & mrs Savage here; mrs [Brod] & Lidia MC Graw. I was at home all Day."
1785-12-05,"X Birth. Churcths Daftr. XX Call d to mr Churches about Day, She being in travil. was Deliverd about 5/O Clock P.M. of a Dafter, y e operation performd by mrs Winslow."
1785-12-05,"I went to mrs Boltons, Hannah to mrs Westons."
1785-12-05,"I was at home. Richard Ridan & his Wife here. Cap t Nichols here y s Evn g . mr Ballard gone to y e hook. I was at home. mr Salv ns Hatch & wife Came here. Capt Nichols here Bound to y e westward. he, Rub n Moore, Wil m & mr Eddy staid here this night."
1785-12-05,Cloudy & rainy. old mrs Bolton & mrs Chamberlin here after n . I was at home all Day.
1785-12-05,"mr Ballard Gone to mr Pollards. Clear. Soloman Pollard went from here, went on Board Cap t Smith Bound for y e west Indies. Hannah & Dolly Gone to mr Westons. mr Sarls & [Lee] Drank Tea with us."
1785-12-06,Cloudy. I went to mr Pollards afternoone. mr Hodges Set out for Boston. I began mr Ballard a pair of hoes woolin.
1785-12-06,"I was at Ditoes. mrs Cragen, Hail & Barton made us a visit. Betsy was unwell. there was a little rain y s afternoone."
1785-12-06,Clear & hott morn. Joseph Town at Son Towns. I was there all Day. fixt to go Down with Nathan Howard but Lucy Thought it not best. Betsy went to mr Crosbys for Cloath; brought Some home.
